,status,list_date,year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,city,county,lat,lon
0,sold,2023-06-29T21:16:25.000000Z,1963.0,2023-09-18,554950.0,2.0,10454.0,1821.0,2.0,1.0,1.5677316293929713,3.0,single_family,Alaska,Juneau,58.36395,-134.59372
5,sold,2023-08-21T21:01:22.000000Z,1969.0,2023-08-04,415000.0,1.0,251094.94678872835,950.0,1.0,0.0,1.5677316293929713,2.0,condos,Alaska,Juneau,58.386651,-134.649067
6,sold,2023-08-21T21:01:22.000000Z,1920.0,2023-08-03,835000.0,3.0,5875.0,3860.0,3.0,2.0,1.5677316293929713,5.0,single_family,Alaska,Juneau,58.304573,-134.403991
12,sold,2023-08-21T21:01:22.000000Z,1969.0,2023-08-04,415000.0,1.0,251094.94678872835,950.0,1.0,0.0,1.5677316293929713,2.0,condos,Alaska,Juneau,58.386651,-134.649067
13,sold,2023-08-21T21:01:22.000000Z,1920.0,2023-08-03,835000.0,3.0,5875.0,3860.0,3.0,2.0,1.5677316293929713,5.0,single_family,Alaska,Juneau,58.304573,-134.403991
18,sold,2023-08-21T21:01:22.000000Z,1969.0,2023-08-04,415000.0,1.0,251094.94678872835,950.0,1.0,0.0,1.5677316293929713,2.0,condos,Alaska,Juneau,58.386651,-134.649067
19,sold,2023-08-21T21:01:22.000000Z,1920.0,2023-08-03,835000.0,3.0,5875.0,3860.0,3.0,2.0,1.5677316293929713,5.0,single_family,Alaska,Juneau,58.304573,-134.403991
23,sold,2023-08-21T21:01:22.000000Z,1969.0,2023-08-04,415000.0,1.0,251094.94678872835,950.0,1.0,0.0,1.5677316293929713,2.0,condos,Alaska,Juneau,58.386651,-134.649067
24,sold,2023-08-21T21:01:22.000000Z,1920.0,2023-08-03,835000.0,3.0,5875.0,3860.0,3.0,2.0,1.5677316293929713,5.0,single_family,Alaska,Juneau,58.304573,-134.403991
27,sold,2023-08-21T21:01:22.000000Z,1969.0,2023-08-04,415000.0,1.0,251094.94678872835,950.0,1.0,0.0,1.5677316293929713,2.0,condos,Alaska,Juneau,58.386651,-134.649067
28,sold,2023-08-21T21:01:22.000000Z,1920.0,2023-08-03,835000.0,3.0,5875.0,3860.0,3.0,2.0,1.5677316293929713,5.0,single_family,Alaska,Juneau,58.304573,-134.403991
30,sold,2023-12-19T18:08:22.000000Z,1998.0,2024-01-16,129900.0,2.0,11761.0,1478.0,2.0,2.0,1.0,3.0,single_family,Alabama,Montgomery,32.389075,-86.178412
31,sold,2023-11-10T14:20:36.000000Z,1945.0,2024-01-16,88500.0,2.0,6534.0,1389.0,2.0,1.0,2.0,4.0,single_family,Alabama,Montgomery,32.382748,-86.273286
32,sold,2023-12-19T18:08:22.000000Z,1969.0,2024-01-16,145000.0,2.0,17424.0,2058.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.380023,-86.221454
33,sold,2023-07-05T16:47:40.000000Z,1955.0,2024-01-16,65000.0,2.0,9712.0,1432.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.386844,-86.284387
34,sold,2023-10-29T17:55:28.000000Z,1984.0,2024-01-12,169000.0,2.0,10890.0,1804.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.351898,-86.232662
35,sold,2023-12-08T14:11:39.000000Z,1999.0,2024-01-12,180000.0,2.0,12632.0,1476.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.405798,-86.200885
36,sold,2023-11-27T22:50:49.000000Z,2001.0,2024-01-12,260000.0,2.0,12632.0,1888.0,2.0,0.0,1.0,4.0,single_family,Alabama,Montgomery,32.37089,-86.161376
37,sold,2023-02-24T15:00:22.000000Z,1962.0,2024-01-12,60000.0,2.0,13068.0,1722.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.323353,-86.291318
38,sold,2023-11-30T13:50:41.000000Z,1965.0,2024-01-12,159000.0,2.0,11326.0,1635.0,2.0,2.0,1.0,3.0,single_family,Alabama,Montgomery,32.37021,-86.251939
39,sold,2023-09-01T00:58:27.000000Z,1974.0,2024-01-12,424900.0,2.0,740520.0,3339.0,3.0,0.0,2.0,3.0,single_family,Alabama,Montgomery,32.323992,-86.458715
40,sold,2022-09-02T18:18:05.000000Z,1975.0,2024-01-12,370000.0,1.8874299001504582,3397680.0,1933.8485593336065,0.0,0.0,1.5677316293929713,3.2082889125799574,land,Alabama,Montgomery,32.155112,-86.220291
41,sold,2023-12-08T00:50:40.000000Z,1969.0,2024-01-12,140000.0,2.0,14375.0,1576.0,2.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.389801,-86.196333
42,sold,2023-12-13T22:08:44.000000Z,1954.0,2024-01-12,149900.0,1.0,13504.0,1736.0,1.0,0.0,1.0,3.0,single_family,Alabama,Montgomery,32.393518,-86.247999
