,state,lat,lon,county,address,city,postal_code,street_view_url,property_id,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,garage,primary_photo_url
0,Alaska,58.36395,-134.59372,Juneau,9453 Herbert Pl,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9453%20Herbert%20Pl%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=OPv224SjFIJWgVKAXZKZXNYEdNQ=,9074430767,554950,2023-09-18,,3,2,1821,10454,1,https://ap.rdcpix.com/07097d34c98a59ebb799688986ef271dl-m2867511255s-w1024_h768.jpg
1,Alaska,,,Juneau,8477 Thunder Mountain Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8477%20Thunder%20Mountain%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=X_IwZxbWaAsrSLHsERLq_64YJhc=,9424983842,,2023-08-22,,,,,,,
2,Alaska,,,Juneau,4515 Glacier Hwy,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4515%20Glacier%20Hwy%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=ql3QFXXYvrKARTE42MC9p2Egtdg=,9479068516,,2023-08-22,,,,,,,
3,Alaska,,,Juneau,17850 Point Stephens Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=17850%20Point%20Stephens%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=sSYpYLhHnOQYJTloXVnGAmy2ydY=,9879331943,,2023-08-21,,,,,,,
4,Alaska,,,Juneau,9951 Stephen Richards Memorial Dr,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9951%20Stephen%20Richards%20Memorial%20Dr%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=al_a0xZ7J3DLCuNg4YDdfq3TZKE=,9521639574,,2023-08-21,,,,,,,
5,Alaska,58.386651,-134.649067,Juneau,11909 Glacier Hwy Apt 105,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11909%20Glacier%20Hwy%20Apt%20105%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=cokn0o0X46-BL_yReSTViMXMYh4=,7412309719,415000,2023-08-04,,2,1,950,,,
6,Alaska,58.304573,-134.403991,Juneau,808 5th St,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%205th%20St%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=tV-uGGz9zKJiafcI3GDfgu9GV_I=,7660490777,835000,2023-08-03,,5,3,3860,5875,2,
7,Alaska,58.396178,-134.553717,Juneau,4446 Trafalgar Ave,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4446%20Trafalgar%20Ave%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=V24OM91aZHY5-heG-dKObuuYh4c=,8274121172,,2023-07-21,,3,2,1375,7476,,
8,Alaska,,,Juneau,8477 Thunder Mountain Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8477%20Thunder%20Mountain%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=X_IwZxbWaAsrSLHsERLq_64YJhc=,9424983842,,2023-08-22,,,,,,,
9,Alaska,,,Juneau,4515 Glacier Hwy,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4515%20Glacier%20Hwy%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=ql3QFXXYvrKARTE42MC9p2Egtdg=,9479068516,,2023-08-22,,,,,,,
10,Alaska,,,Juneau,17850 Point Stephens Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=17850%20Point%20Stephens%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=sSYpYLhHnOQYJTloXVnGAmy2ydY=,9879331943,,2023-08-21,,,,,,,
11,Alaska,,,Juneau,9951 Stephen Richards Memorial Dr,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9951%20Stephen%20Richards%20Memorial%20Dr%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=al_a0xZ7J3DLCuNg4YDdfq3TZKE=,9521639574,,2023-08-21,,,,,,,
12,Alaska,58.386651,-134.649067,Juneau,11909 Glacier Hwy Apt 105,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11909%20Glacier%20Hwy%20Apt%20105%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=cokn0o0X46-BL_yReSTViMXMYh4=,7412309719,415000,2023-08-04,,2,1,950,,,
13,Alaska,58.304573,-134.403991,Juneau,808 5th St,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%205th%20St%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=tV-uGGz9zKJiafcI3GDfgu9GV_I=,7660490777,835000,2023-08-03,,5,3,3860,5875,2,
14,Alaska,58.396178,-134.553717,Juneau,4446 Trafalgar Ave,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4446%20Trafalgar%20Ave%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=V24OM91aZHY5-heG-dKObuuYh4c=,8274121172,,2023-07-21,,3,2,1375,7476,,
15,Alaska,,,Juneau,4515 Glacier Hwy,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4515%20Glacier%20Hwy%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=ql3QFXXYvrKARTE42MC9p2Egtdg=,9479068516,,2023-08-22,,,,,,,
16,Alaska,,,Juneau,17850 Point Stephens Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=17850%20Point%20Stephens%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=sSYpYLhHnOQYJTloXVnGAmy2ydY=,9879331943,,2023-08-21,,,,,,,
17,Alaska,,,Juneau,9951 Stephen Richards Memorial Dr,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9951%20Stephen%20Richards%20Memorial%20Dr%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=al_a0xZ7J3DLCuNg4YDdfq3TZKE=,9521639574,,2023-08-21,,,,,,,
18,Alaska,58.386651,-134.649067,Juneau,11909 Glacier Hwy Apt 105,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11909%20Glacier%20Hwy%20Apt%20105%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=cokn0o0X46-BL_yReSTViMXMYh4=,7412309719,415000,2023-08-04,,2,1,950,,,
19,Alaska,58.304573,-134.403991,Juneau,808 5th St,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%205th%20St%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=tV-uGGz9zKJiafcI3GDfgu9GV_I=,7660490777,835000,2023-08-03,,5,3,3860,5875,2,
20,Alaska,58.396178,-134.553717,Juneau,4446 Trafalgar Ave,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4446%20Trafalgar%20Ave%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=V24OM91aZHY5-heG-dKObuuYh4c=,8274121172,,2023-07-21,,3,2,1375,7476,,
21,Alaska,,,Juneau,17850 Point Stephens Rd,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=17850%20Point%20Stephens%20Rd%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=sSYpYLhHnOQYJTloXVnGAmy2ydY=,9879331943,,2023-08-21,,,,,,,
22,Alaska,,,Juneau,9951 Stephen Richards Memorial Dr,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9951%20Stephen%20Richards%20Memorial%20Dr%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=al_a0xZ7J3DLCuNg4YDdfq3TZKE=,9521639574,,2023-08-21,,,,,,,
23,Alaska,58.386651,-134.649067,Juneau,11909 Glacier Hwy Apt 105,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11909%20Glacier%20Hwy%20Apt%20105%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=cokn0o0X46-BL_yReSTViMXMYh4=,7412309719,415000,2023-08-04,,2,1,950,,,
24,Alaska,58.304573,-134.403991,Juneau,808 5th St,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%205th%20St%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=tV-uGGz9zKJiafcI3GDfgu9GV_I=,7660490777,835000,2023-08-03,,5,3,3860,5875,2,
25,Alaska,58.396178,-134.553717,Juneau,4446 Trafalgar Ave,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4446%20Trafalgar%20Ave%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=V24OM91aZHY5-heG-dKObuuYh4c=,8274121172,,2023-07-21,,3,2,1375,7476,,
26,Alaska,,,Juneau,9951 Stephen Richards Memorial Dr,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9951%20Stephen%20Richards%20Memorial%20Dr%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=al_a0xZ7J3DLCuNg4YDdfq3TZKE=,9521639574,,2023-08-21,,,,,,,
27,Alaska,58.386651,-134.649067,Juneau,11909 Glacier Hwy Apt 105,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11909%20Glacier%20Hwy%20Apt%20105%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=cokn0o0X46-BL_yReSTViMXMYh4=,7412309719,415000,2023-08-04,,2,1,950,,,
28,Alaska,58.304573,-134.403991,Juneau,808 5th St,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%205th%20St%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=tV-uGGz9zKJiafcI3GDfgu9GV_I=,7660490777,835000,2023-08-03,,5,3,3860,5875,2,
29,Alaska,58.396178,-134.553717,Juneau,4446 Trafalgar Ave,Juneau,99801,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4446%20Trafalgar%20Ave%2C%20Juneau%2C%20AK%2099801&size=640x480&source=outdoor&signature=V24OM91aZHY5-heG-dKObuuYh4c=,8274121172,,2023-07-21,,3,2,1375,7476,,
30,Alabama,32.389075,-86.178412,Montgomery,501 Moorfield Ln,Montgomery,36117,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=501%20Moorfield%20Ln%2C%20Montgomery%2C%20AL%2036117&size=640x480&source=outdoor&signature=azTGZojLIWmHVNWW93ZrcRcz43I=,8846541030,129900,2024-01-16,129900,3,2,1478,11761,2,
31,Alabama,32.382748,-86.273286,Montgomery,2326 Winona Ave,Montgomery,36107,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2326%20Winona%20Ave%2C%20Montgomery%2C%20AL%2036107&size=640x480&source=outdoor&signature=TYnUm_PzrJ1buobaPLULmbDMXhg=,7727981021,88000,2024-01-16,88500,4,2,1389,6534,1,https://ap.rdcpix.com/a5fe1391acf35d43ee6d825ce86f8115l-m2469028399s-w1024_h768.jpg
32,Alabama,32.380023,-86.221454,Montgomery,115 Lookout Ridge Rd,Montgomery,36109,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=115%20Lookout%20Ridge%20Rd%2C%20Montgomery%2C%20AL%2036109&size=640x480&source=outdoor&signature=zH8x7qOtbDPqn7fwikuqm-LAXwc=,7320925131,149000,2024-01-16,145000,3,2,2058,17424,,
33,Alabama,32.386844,-86.284387,Montgomery,611 Glenmore Rd,Montgomery,36107,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=611%20Glenmore%20Rd%2C%20Montgomery%2C%20AL%2036107&size=640x480&source=outdoor&signature=d7i5itqLh0gJ3J5_eFViiAaF5Bw=,7231604965,68000,2024-01-16,65000,3,2,1432,9712,,https://ap.rdcpix.com/c41ec0e28b89fa84db6d75df3a75895fl-m2353506347s-w1024_h768.jpg
34,Alabama,32.351898,-86.232662,Montgomery,1819 E Trinity Blvd,Montgomery,36106,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1819%20E%20Trinity%20Blvd%2C%20Montgomery%2C%20AL%2036106&size=640x480&source=outdoor&signature=Gyjqvi_vMU-WNMOxhqgMdUrI8rQ=,7700690979,169999,2024-01-12,169000,3,2,1804,10890,,https://ap.rdcpix.com/1e4bac70e24f789842a6663b5314bb24l-m1823199980s-w1024_h768.jpg
35,Alabama,32.405798,-86.200885,Montgomery,1112 Sandlewood Ct,Montgomery,36117,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1112%20Sandlewood%20Ct%2C%20Montgomery%2C%20AL%2036117&size=640x480&source=outdoor&signature=8ztra4j4F1Sp-l1hDULHSh0eJH8=,8798505230,189900,2024-01-12,180000,3,2,1476,12632,,https://ap.rdcpix.com/61c1ed5b3aaa88ab80efcc49412241afl-m1501411809s-w1024_h768.jpg
36,Alabama,32.37089,-86.161376,Montgomery,545 Ridge Park Dr,Montgomery,36117,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=545%20Ridge%20Park%20Dr%2C%20Montgomery%2C%20AL%2036117&size=640x480&source=outdoor&signature=U88TGhBdaF6IO67awzX3mfdlWUY=,7117799851,254999,2024-01-12,260000,4,2,1888,12632,,https://ap.rdcpix.com/686d934c4cdfa68e232633d5f6aeb101l-m1822167428s-w1024_h768.jpg
37,Alabama,32.323353,-86.291318,Montgomery,4275 Sunshine Dr,Montgomery,36116,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4275%20Sunshine%20Dr%2C%20Montgomery%2C%20AL%2036116&size=640x480&source=outdoor&signature=TR5Rhr20xcz55ZQtD2T14ti5p2s=,8922976627,75000,2024-01-12,60000,3,2,1722,13068,,https://ap.rdcpix.com/ef5ee786ae1446e742997757c4150decl-m62694281s-w1024_h768.jpg
38,Alabama,32.37021,-86.251939,Montgomery,817 Dumont Dr,Montgomery,36109,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=817%20Dumont%20Dr%2C%20Montgomery%2C%20AL%2036109&size=640x480&source=outdoor&signature=BzfXoQxs7fkbSHKuJ1cvWgWsy00=,8224034280,159000,2024-01-12,159000,3,2,1635,11326,2,https://ap.rdcpix.com/1ef4821fcf16029021d658c2db0e28b9l-m129105455s-w1024_h768.jpg
39,Alabama,32.323992,-86.458715,Montgomery,1380 Cantelou Rd,Montgomery,36108,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1380%20Cantelou%20Rd%2C%20Montgomery%2C%20AL%2036108&size=640x480&source=outdoor&signature=el3jZm46ikD70atEaCbYQOspwhY=,9099119141,424900,2024-01-12,424900,3,3,3339,740520,,https://ap.rdcpix.com/43f3585656821593959c92c35f9706efl-b3477118368s-w1024_h768.jpg
40,Alabama,32.155112,-86.220291,Montgomery,3180 E Old Hayneville Rd,Montgomery,36105,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3180%20E%20Old%20Hayneville%20Rd%2C%20Montgomery%2C%20AL%2036105&size=640x480&source=outdoor&signature=gsQYeBBshPLE8_SYatDkRAo2OTw=,9371305836,395000,2024-01-12,370000,,0,,3397680,,https://ap.rdcpix.com/eb38aea2a104672b0eccd41f7b53dabal-m3977818291s-w1024_h768.jpg
41,Alabama,32.389801,-86.196333,Montgomery,369 Kroy Dr,Montgomery,36117,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=369%20Kroy%20Dr%2C%20Montgomery%2C%20AL%2036117&size=640x480&source=outdoor&signature=4m_PFymdwyL8XtUErn6oP8M5zd8=,7788790816,140000,2024-01-12,140000,3,2,1576,14375,,https://ap.rdcpix.com/12a7a90ae37bc922786e1b376ba4cc52l-m1145087508s-w1024_h768.jpg
42,Alabama,32.393518,-86.247999,Montgomery,3725 Dalraida Pkwy,Montgomery,36109,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3725%20Dalraida%20Pkwy%2C%20Montgomery%2C%20AL%2036109&size=640x480&source=outdoor&signature=xmpq8eRIp49hlt0Hko_eF2rFEXg=,7502373005,149900,2024-01-12,149900,3,1,1736,13504,,https://ap.rdcpix.com/afc556e71f380177925a6cb62f4d0b9el-m2457081295s-w1024_h768.jpg
43,Alabama,32.362228,-86.312431,Montgomery,1109D E Nixon Ave,Montgomery,36104,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1109D%20E%20Nixon%20Ave%2C%20Montgomery%2C%20AL%2036104&size=640x480&source=outdoor&signature=AwFoPQVIWLes58zktS6uaFqjk_I=,9066470079,50000,2024-01-12,45000,2,1,1434,4356,,https://ap.rdcpix.com/9924cfbadbb7f58c86308fcd3f5b624fl-m1101185229s-w1024_h768.jpg
44,Alabama,32.316226,-86.134284,Montgomery,8979 Pennington Pl,Montgomery,36117,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8979%20Pennington%20Pl%2C%20Montgomery%2C%20AL%2036117&size=640x480&source=outdoor&signature=unwlfuws0QvD0ashKQmIgg28rLo=,7582727824,320000,2024-01-11,310000,4,2,2134,13068,2,https://ap.rdcpix.com/3f90cdabc4c809f4fa1bab1a9c9f69e3l-b3996110015s-w1024_h768.jpg
45,Alabama,32.330353,-86.257237,Montgomery,3139 Sutton Dr,Montgomery,36111,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3139%20Sutton%20Dr%2C%20Montgomery%2C%20AL%2036111&size=640x480&source=outdoor&signature=qo4wxYc-exh4kPZ2D1X4eciUu0g=,7012948010,145000,2024-01-10,147000,3,2,1650,6970,,https://ap.rdcpix.com/c79ab0203ab07b75961087a8da4576eal-b3801220453s-w1024_h768.jpg
46,Alabama,32.336941,-86.223595,Montgomery,5728 Carriage Hills Dr,Montgomery,36116,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5728%20Carriage%20Hills%20Dr%2C%20Montgomery%2C%20AL%2036116&size=640x480&source=outdoor&signature=sY-ayIxTB2xT-ayEZFamV6lZP_o=,7474045814,215000,2024-01-10,195000,5,2,2264,16553,2,https://ap.rdcpix.com/0fb0892ae99e35a037e46c14d9210eafl-m3337937336s-w1024_h768.jpg
47,Alabama,32.312602,-86.287019,Montgomery,4760 Queensbury Ct,Montgomery,36116,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4760%20Queensbury%20Ct%2C%20Montgomery%2C%20AL%2036116&size=640x480&source=outdoor&signature=ye0Cr-3hwXEfaab5SNNTwRkg_cc=,8160653135,136000,2024-01-09,136000,3,2,1752,16988,2,https://ap.rdcpix.com/657c8bb805ac466f65c35abbf0280f15l-m3716669313s-w1024_h768.jpg
48,Alabama,32.334407,-86.289689,Montgomery,1313 Adrian Ln,Montgomery,36111,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1313%20Adrian%20Ln%2C%20Montgomery%2C%20AL%2036111&size=640x480&source=outdoor&signature=hEAKadg8Oz-vsaDSFvrTBc2qZ6o=,7315920123,31500,2024-01-09,31500,3,1,961,11326,,https://ap.rdcpix.com/558260924a958b13ebfadc6f55f97d8el-m3617901769s-w1024_h768.jpg
49,Alabama,32.37289,-86.237024,Montgomery,511 E Moye Dr,Montgomery,36109,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=511%20E%20Moye%20Dr%2C%20Montgomery%2C%20AL%2036109&size=640x480&source=outdoor&signature=5OXHcLs9pExtnYXUEVD__I7QGd0=,8656536510,184900,2024-01-08,178000,4,2,1892,12632,,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg
